epoch,lr-Adam,step,train/train-task-acc,train/train-task-loss,train/train-total-loss,val/val-id-region-africa-task-acc,val/val-id-region-africa-task-loss,val/val-id-region-americas-task-acc,val/val-id-region-americas-task-loss,val/val-id-region-asia-task-acc,val/val-id-region-asia-task-loss,val/val-id-region-europe-task-acc,val/val-id-region-europe-task-loss,val/val-id-region-oceania-task-acc,val/val-id-region-oceania-task-loss,val/val-id-task-acc,val/val-id-task-ece,val/val-id-task-entropy-correct,val/val-id-task-entropy-incorrect,val/val-id-task-loss,val/val-id-worst-group-task-acc,val/val-od-region-africa-task-acc,val/val-od-region-africa-task-loss,val/val-od-region-americas-task-acc,val/val-od-region-americas-task-loss,val/val-od-region-asia-task-acc,val/val-od-region-asia-task-loss,val/val-od-region-europe-task-acc,val/val-od-region-europe-task-loss,val/val-od-region-oceania-task-acc,val/val-od-region-oceania-task-loss,val/val-od-task-acc,val/val-od-task-ece,val/val-od-task-entropy-correct,val/val-od-task-entropy-incorrect,val/val-od-task-loss,val/val-od-worst-group-task-acc
,2e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,600,,,,0.5052631497383118,2.0293173789978027,0.37451234459877014,2.5677151679992676,0.350538432598114,2.6286985874176025,0.3272589147090912,2.694657564163208,0.350597620010376,2.4072611331939697,0.3487764596939087,0.09457367658615112,2.5409462451934814,3.403322696685791,2.6311802864074707,0.3272589147090912,0.28891655802726746,2.652350425720215,0.34608352184295654,2.648303985595703,0.34967240691185,2.674182415008545,0.3917485773563385,2.466168165206909,0.3405483365058899,2.5140514373779297,0.3620888888835907,0.09266242384910583,2.4579806327819824,3.3758862018585205,2.5810134410858154,0.28891655802726746
0,,600,0.23815099895000458,3.1676182746887207,3.1676182746887207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.6e-05,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1201,,,,0.6263157725334167,1.5181535482406616,0.5328348278999329,1.8326996564865112,0.4738210141658783,1.9818148612976074,0.47133636474609375,2.036248207092285,0.6015936136245728,1.55399751663208,0.4939475655555725,0.09642843157052994,1.9307844638824463,2.936539649963379,1.9517930746078491,0.47133636474609375,0.4072229266166687,2.1021790504455566,0.49238038063049316,1.9741442203521729,0.4639650583267212,2.054733991622925,0.5285825133323669,1.8260741233825684,0.5440115332603455,1.6615899801254272,0.49892041087150574,0.08851324021816254,1.872546672821045,2.911851406097412,1.929166555404663,0.4072229266166687
1,,1201,0.4350597858428955,2.2245571613311768,2.2245571613311768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.2000000000000004e-05,1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1802,,,,0.6578947305679321,1.2111529111862183,0.6007802486419678,1.484385371208191,0.5577422976493835,1.6143113374710083,0.5419514179229736,1.7194117307662964,0.6852589845657349,1.2019816637039185,0.5665766596794128,0.046096932142972946,1.4060624837875366,2.5253732204437256,1.6142698526382446,0.5419514179229736,0.4508094787597656,1.8336961269378662,0.5536421537399292,1.6634148359298706,0.5241446495056152,1.7392899990081787,0.587428867816925,1.517326831817627,0.6334776282310486,1.3579506874084473,0.5592769384384155,0.03151632845401764,1.3701624870300293,2.492676258087158,1.6196335554122925,0.4508094787597656
2,,1802,0.556821882724762,1.6758105754852295,1.6758105754852295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.8e-05,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,2403,,,,0.6684210300445557,1.1623773574829102,0.6336150765419006,1.3326267004013062,0.6030449271202087,1.4665066003799438,0.5654897689819336,1.6012036800384521,0.7450199127197266,1.081632137298584,0.5982757210731506,0.015254652127623558,1.1460975408554077,2.2758450508117676,1.4804749488830566,0.5654897689819336,0.48194271326065063,1.7980414628982544,0.5873209238052368,1.5373079776763916,0.556175708770752,1.612563133239746,0.6118727326393127,1.4277080297470093,0.6536796689033508,1.2375574111938477,0.5884509086608887,0.009235646575689316,1.1233497858047485,2.2398972511291504,1.5114251375198364,0.48194271326065063
3,,2403,0.6371986269950867,1.3455264568328857,1.3455264568328857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.400000000000001e-05,2404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,3004,,,,0.6736842393875122,1.186238408088684,0.6508452296257019,1.286931037902832,0.6134422421455383,1.3933148384094238,0.5795368552207947,1.5558704137802124,0.7729083895683289,1.0268542766571045,0.6124706268310547,0.023349188268184662,0.9379624724388123,2.052497148513794,1.4309645891189575,0.5795368552207947,0.47820672392845154,1.9480026960372925,0.5970740914344788,1.508715033531189,0.5569036602973938,1.6257891654968262,0.6246766448020935,1.4067659378051758,0.6753246784210205,1.2285499572753906,0.5973889231681824,0.038211435079574585,0.942453145980835,1.9992955923080444,1.5028893947601318,0.47820672392845154
4,,3004,0.6923096776008606,1.122085452079773,1.122085452079773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0001,3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,3605,,,,0.7157894968986511,1.2123148441314697,0.6462938785552979,1.3120543956756592,0.6182695627212524,1.3857074975967407,0.5801063179969788,1.5713908672332764,0.7490040063858032,1.0164419412612915,0.6128189563751221,0.05502381548285484,0.8035619258880615,1.9191999435424805,1.4428505897521973,0.5801063179969788,0.4769614040851593,1.9766775369644165,0.5920451283454895,1.532870888710022,0.5794709920883179,1.566147804260254,0.6276513338088989,1.4186289310455322,0.6839826703071594,1.1781433820724487,0.6018579006195068,0.0639106035232544,0.8295423984527588,1.8764220476150513,1.5013881921768188,0.4769614040851593
5,,3605,0.7371817231178284,0.9500133991241455,0.9500133991241455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.98794204878613e-05,3606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,4206,,,,0.6684210300445557,1.2314057350158691,0.6508452296257019,1.339324712753296,0.6219829320907593,1.4279729127883911,0.5859909057617188,1.5898892879486084,0.8087649345397949,0.9770669937133789,0.6182182431221008,0.07912777364253998,0.7099774479866028,1.7644894123077393,1.4667303562164307,0.5859909057617188,0.5068492889404297,1.830147624015808,0.5995123386383057,1.54606294631958,0.5636981129646301,1.6411527395248413,0.6218313574790955,1.4438234567642212,0.6854256987571716,1.2303900718688965,0.6000502109527588,0.09072305262088776,0.7287598848342896,1.740482211112976,1.5270533561706543,0.5068492889404297
6,,4206,0.7810519933700562,0.7806199193000793,0.7806199193000793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.951826940270773e-05,4207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,4807,,,,0.6631578803062439,1.2980585098266602,0.6625487804412842,1.352104663848877,0.6338655948638916,1.420803427696228,0.5930144190788269,1.581554889678955,0.7450199127197266,1.1351224184036255,0.6257946491241455,0.09802763164043427,0.6097099184989929,1.632096529006958,1.469846248626709,0.5930144190788269,0.5043586492538452,2.0145413875579834,0.6008839011192322,1.5880954265594482,0.5588449239730835,1.6882215738296509,0.6386445760726929,1.4373629093170166,0.682539701461792,1.2723629474639893,0.6057745218276978,0.11245149374008179,0.6321136951446533,1.5969308614730835,1.5566662549972534,0.5043586492538452
7,,4807,0.8207850456237793,0.6397899389266968,0.6397899389266968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.891830623632339e-05,4808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,5408,,,,0.6842105388641357,1.4027125835418701,0.6423926949501038,1.4463335275650024,0.626067578792572,1.5076014995574951,0.5954821705818176,1.6140319108963013,0.7649402618408203,1.1812416315078735,0.6205695271492004,0.11854267865419388,0.5441066026687622,1.5301449298858643,1.5340275764465332,0.5954821705818176,0.49066001176834106,2.001479148864746,0.5955501198768616,1.6628961563110352,0.5651540756225586,1.740169882774353,0.6365752816200256,1.4669774770736694,0.7113997340202332,1.2557374238967896,0.6049711108207703,0.12727215886116028,0.5649166703224182,1.5215257406234741,1.601959466934204,0.49066001176834106
8,,5408,0.852412760257721,0.5267954468727112,0.5267954468727112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.808245394894679e-05,5409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,6009,,,,0.6736842393875122,1.4591914415359497,0.6631989479064941,1.4074255228042603,0.6268102526664734,1.5090954303741455,0.5947228670120239,1.6516538858413696,0.7569721341133118,1.2102549076080322,0.6256204843521118,0.13317450881004333,0.4855402410030365,1.4343111515045166,1.5432523488998413,0.5947228670120239,0.4844333827495575,2.0591752529144287,0.6057604551315308,1.6334238052368164,0.5634554624557495,1.7446972131729126,0.6372219324111938,1.51139235496521,0.6796537041664124,1.3957096338272095,0.6069294214248657,0.143120676279068,0.5101664662361145,1.4331953525543213,1.6188393831253052,0.4844333827495575
9,,6009,0.8802545070648193,0.42958128452301025,0.42958128452301025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.701478472890248e-05,6010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,6610,,,,0.6894736886024475,1.372637391090393,0.6573472023010254,1.4417953491210938,0.6379502415657043,1.5039362907409668,0.5958617925643921,1.718976616859436,0.7450199127197266,1.2195155620574951,0.627100944519043,0.14370959997177124,0.4523930549621582,1.361754059791565,1.5805244445800781,0.5958617925643921,0.48941469192504883,2.2458462715148926,0.5955501198768616,1.7207049131393433,0.553263783454895,1.8718024492263794,0.6363165974617004,1.5616666078567505,0.6940836906433105,1.3203173875808716,0.6018579006195068,0.16077712178230286,0.46715641021728516,1.365478754043579,1.6980645656585693,0.48941469192504883
10,,6610,0.9004202485084534,0.3532371520996094,0.3532371520996094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.572050015330875e-05,6611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,7211,,,,0.6578947305679321,1.7300136089324951,0.6566970348358154,1.5099812746047974,0.6208689212799072,1.664742350578308,0.589407742023468,1.8178234100341797,0.7450199127197266,1.1968413591384888,0.6194374561309814,0.15632760524749756,0.43820932507514954,1.312719702720642,1.6872153282165527,0.589407742023468,0.496886670589447,2.553412437438965,0.5908259749412537,1.7968597412109375,0.5598155856132507,1.9236466884613037,0.6244180202484131,1.6371548175811768,0.6536796689033508,1.4081449508666992,0.5958824753761292,0.1731480062007904,0.4513881504535675,1.3100837469100952,1.7774263620376587,0.496886670589447
11,,7211,0.9186604619026184,0.2904089689254761,0.2904089689254761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.42059058465169e-05,7212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,7812,,,,0.6578947305679321,1.7672371864318848,0.6430429220199585,1.6326837539672852,0.6338655948638916,1.6901013851165771,0.5850417613983154,1.854429841041565,0.7490040063858032,1.26106858253479,0.6169119477272034,0.17739751935005188,0.38725924491882324,1.2025715112686157,1.7460638284683228,0.5850417613983154,0.4931506812572479,2.4197309017181396,0.5908259749412537,1.9034712314605713,0.5639407634735107,1.9513014554977417,0.6229953169822693,1.693476915359497,0.6998556852340698,1.3460875749588013,0.5976901650428772,0.18971897661685944,0.4010038375854492,1.2023165225982666,1.83378005027771,0.4931506812572479
12,,7812,0.9343767762184143,0.2333897352218628,0.2333897352218628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.247838075974309e-05,7813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,8413,,,,0.6368421316146851,1.6154032945632935,0.6443433165550232,1.649558186531067,0.6320089101791382,1.68159818649292,0.5882688164710999,1.9404112100601196,0.7569721341133118,1.2183586359024048,0.6179569959640503,0.18160247802734375,0.36908096075057983,1.1740772724151611,1.7852050065994263,0.5882688164710999,0.48194271326065063,2.7066538333892822,0.581987202167511,1.9805216789245605,0.561999499797821,1.98428213596344,0.6314019560813904,1.7222779989242554,0.6854256987571716,1.482926607131958,0.5966356992721558,0.19904367625713348,0.3835955560207367,1.1553999185562134,1.8930026292800903,0.48194271326065063
13,,8413,0.9466843605041504,0.1894121617078781,0.1894121617078781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.054634122155992e-05,8414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,9014,,,,0.6684210300445557,1.8019007444381714,0.6492197513580322,1.6578656435012817,0.6323802471160889,1.7300004959106445,0.5909263491630554,1.97567617893219,0.7928286790847778,1.1801868677139282,0.6220499873161316,0.18857984244823456,0.3421178162097931,1.1089131832122803,1.818307638168335,0.5909263491630554,0.49439600110054016,2.6709468364715576,0.592959463596344,1.9848092794418335,0.5651540756225586,2.059189796447754,0.6288152933120728,1.8069771528244019,0.6839826703071594,1.4693453311920166,0.6003515124320984,0.20499971508979797,0.3604118824005127,1.0892410278320312,1.9424340724945068,0.49439600110054016
14,,9014,0.953735888004303,0.16331957280635834,0.16331957280635834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.841919993438942e-05,9015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,9615,,,,0.6684210300445557,1.8661227226257324,0.6570221185684204,1.6751195192337036,0.6360935568809509,1.7467187643051147,0.5943431854248047,1.977761149406433,0.7569721341133118,1.3516038656234741,0.6257946491241455,0.19313350319862366,0.32247740030288696,1.0739784240722656,1.831533432006836,0.5943431854248047,0.4919053614139557,2.661531925201416,0.5982931852340698,1.9773533344268799,0.5714632272720337,2.105546474456787,0.6228660345077515,1.8213261365890503,0.6854256987571716,1.4603610038757324,0.6010544896125793,0.21177257597446442,0.3279148042201996,1.0728106498718262,1.9538861513137817,0.4919053614139557
15,,9615,0.9597075581550598,0.14080552756786346,0.14080552756786346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.610732011676325e-05,9616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,10216,,,,0.6894736886024475,1.8073992729187012,0.6615734696388245,1.6792899370193481,0.6294095516204834,1.7439370155334473,0.5922551155090332,2.0751359462738037,0.7729083895683289,1.2596646547317505,0.6250979900360107,0.20063483715057373,0.29356563091278076,1.0445362329483032,1.87253737449646,0.5922551155090332,0.503113329410553,2.542362689971924,0.6021029949188232,2.0199546813964844,0.5663673877716064,2.1148135662078857,0.6298499703407288,1.8413066864013672,0.6565656661987305,1.5571620464324951,0.6034145355224609,0.21151110529899597,0.3237714171409607,1.0528063774108887,1.9764316082000732,0.503113329410553
16,,10216,0.9664337635040283,0.11817275732755661,0.11817275732755661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.36219650147635e-05,10217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,10817,,,,0.6368421316146851,2.0403220653533936,0.6589726805686951,1.76480233669281,0.638321578502655,1.802688717842102,0.5971905589103699,2.070909261703491,0.7808765172958374,1.2738863229751587,0.6281459331512451,0.20498469471931458,0.2802925705909729,0.9971277117729187,1.9135884046554565,0.5971905589103699,0.49066001176834106,2.8529717922210693,0.599817156791687,2.0472981929779053,0.5612715482711792,2.1776657104492188,0.6359286308288574,1.866701602935791,0.6782106757164001,1.593422293663025,0.6042681336402893,0.22114363312721252,0.2977655827999115,0.9949779510498047,2.023165702819824,0.49066001176834106
17,,10817,0.9723143577575684,0.09840189665555954,0.09840189665555954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.09752430286201e-05,10818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,11418,,,,0.6526315808296204,1.831067681312561,0.6511703729629517,1.720377802848816,0.6230969429016113,1.856992483139038,0.5988990068435669,2.070093870162964,0.7768924236297607,1.3398106098175049,0.623356282711029,0.2116972804069519,0.26473352313041687,0.98177170753479,1.9125676155090332,0.5988990068435669,0.4806973934173584,3.0935819149017334,0.5970740914344788,2.102895498275757,0.5673380494117737,2.221815586090088,0.6251940131187439,1.9261122941970825,0.7056276798248291,1.559859037399292,0.6009540557861328,0.22944390773773193,0.2783985733985901,0.961046040058136,2.080418348312378,0.4806973934173584
18,,11418,0.9754628539085388,0.08758672326803207,0.08758672326803207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.818004872180198e-05,11419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,12019,,,,0.6736842393875122,2.0378451347351074,0.6592977643013,1.7483699321746826,0.6338655948638916,1.8277451992034912,0.591116189956665,2.1600544452667236,0.7928286790847778,1.2699395418167114,0.6252721548080444,0.21455541253089905,0.2530781328678131,0.9551384449005127,1.9541361331939697,0.591116189956665,0.5093399882316589,2.624666213989258,0.5926547050476074,2.183529853820801,0.5753458142280579,2.199077606201172,0.6342473030090332,1.9362647533416748,0.6652236580848694,1.6795114278793335,0.6044690012931824,0.22797109186649323,0.2761198580265045,0.9500581622123718,2.0921003818511963,0.5093399882316589
19,,12019,0.9799123406410217,0.07292649149894714,0.07292649149894714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.525000000000001e-05,12020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,12620,,,,0.6684210300445557,2.0323338508605957,0.6599479913711548,1.8234974145889282,0.6401782631874084,1.8687644004821777,0.5932042598724365,2.2077271938323975,0.7768924236297607,1.3457486629486084,0.6273621916770935,0.21847979724407196,0.2442391812801361,0.911654531955719,2.008049964904785,0.5932042598724365,0.4956413507461548,3.0796847343444824,0.6033221483230591,2.1807503700256348,0.5777723789215088,2.236187219619751,0.6381272673606873,1.9500932693481445,0.6868686676025391,1.6462370157241821,0.6101933121681213,0.22920021414756775,0.26681774854660034,0.907042384147644,2.1198925971984863,0.4956413507461548
20,,12620,0.9808880686759949,0.06875696033239365,0.06875696033239365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.219937176605935e-05,12621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,13221,,,,0.6736842393875122,2.104508638381958,0.6501950621604919,1.8743257522583008,0.6401782631874084,1.918501615524292,0.593583881855011,2.21472430229187,0.7609561681747437,1.4112871885299683,0.6246625185012817,0.2245417982339859,0.23539718985557556,0.8903514742851257,2.0419387817382812,0.593583881855011,0.5180572867393494,2.721426486968994,0.5995123386383057,2.2275404930114746,0.5702499151229858,2.3017282485961914,0.631531298160553,2.024790048599243,0.6969696879386902,1.5520145893096924,0.6060256361961365,0.23676806688308716,0.2515491843223572,0.8838211894035339,2.1611406803131104,0.5180572867393494
21,,13221,0.9835941791534424,0.06000892072916031,0.06000892072916031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.904302637408766e-05,13222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,13822,,,,0.6526315808296204,2.170542001724243,0.6508452296257019,1.9190329313278198,0.6394355893135071,1.9471733570098877,0.6023158431053162,2.202772617340088,0.7928286790847778,1.371475338935852,0.6291038990020752,0.22318004071712494,0.22871221601963043,0.8789383769035339,2.0531094074249268,0.6023158431053162,0.5180572867393494,3.0303194522857666,0.6005790829658508,2.233349323272705,0.5760737657546997,2.317000150680542,0.6365752816200256,2.0070765018463135,0.6883116960525513,1.6478286981582642,0.6091388463973999,0.23896315693855286,0.23439335823059082,0.8662742376327515,2.175363540649414,0.5180572867393494
22,,13822,0.9861311912536621,0.051413532346487045,0.051413532346487045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.579634122155991e-05,13823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,14423,,,,0.6736842393875122,1.9427591562271118,0.649869978427887,1.9605450630187988,0.6398069262504578,1.9222509860992432,0.5907365083694458,2.267451047897339,0.7808765172958374,1.4710273742675781,0.6237046122550964,0.22822628915309906,0.22381168603897095,0.877230703830719,2.0855119228363037,0.5907365083694458,0.49813199043273926,2.997164487838745,0.5960072875022888,2.2145462036132812,0.5748604536056519,2.2382829189300537,0.6251940131187439,2.0783636569976807,0.6998556852340698,1.5925465822219849,0.6027114987373352,0.24295374751091003,0.23634731769561768,0.8759243488311768,2.1766505241394043,0.49813199043273926
23,,14423,0.9878615140914917,0.04540139436721802,0.04540139436721802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.247513383218356e-05,14424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
