run_id,run_name,run_group,artifact_name,artifact_version,artifact_path,config.model_type,config.optimizer,config.image_net,config.augmentation,val-od-worst-group-acc,test-od-worst-group-acc
dnfh49k0,multi-densenet-init-both-adam-1e-04-02-28,branches,run-multi-densenet-init-both-adam-1e-04-02-28:v12,v12,/home/erik/git/bigpicture/artifacts/best_branches/dnfh49k0_run-multi-densenet-init-both-adam-1e-04-02-28_v12,multi-densenet,adam,both,True,0.5554171855541719,0.34824527574238334
c0e1pyji,multi-densenet-init-both-adam-1e-04-02-27,branches,run-multi-densenet-init-both-adam-1e-04-02-27:v9,v9,/home/erik/git/bigpicture/artifacts/best_branches/c0e1pyji_run-multi-densenet-init-both-adam-1e-04-02-27_v9,multi-densenet,adam,both,False,0.5280199252801993,0.3355187042036251
xrh0byo7,multi-densenet-init-hr-adam-1e-04-02-27,branches,run-multi-densenet-init-hr-adam-1e-04-02-27:v7,v7,/home/erik/git/bigpicture/artifacts/best_branches/xrh0byo7_run-multi-densenet-init-hr-adam-1e-04-02-27_v7,multi-densenet,adam,hr,False,0.5155666251556662,0.3359043578866178
dydyerbq,single-densenet-init-hr-adam-1e-04-02-26,branches,run-single-densenet-init-hr-adam-1e-04-02-26:v7,v7,/home/erik/git/bigpicture/artifacts/best_branches/dydyerbq_run-single-densenet-init-hr-adam-1e-04-02-26_v7,single-densenet,adam,hr,False,0.5006226650062267,0.3224064789818743
gmqs4rra,multi-deit-init-hr-adam-1e-04-02-27,branches,run-multi-deit-init-hr-adam-1e-04-02-27:v2,v2,/home/erik/git/bigpicture/artifacts/best_branches/gmqs4rra_run-multi-deit-init-hr-adam-1e-04-02-27_v2,multi-deit,adam,hr,False,0.45952677459526775,0.303895102198226
s3pw1ul0,multi-deit-init-hr-adamw-5e-05-02-27,branches,run-multi-deit-init-hr-adamw-5e-05-02-27:v5,v5,/home/erik/git/bigpicture/artifacts/best_branches/s3pw1ul0_run-multi-deit-init-hr-adamw-5e-05-02-27_v5,multi-deit,adamw,hr,False,0.44582814445828145,0.2896259159274971
x4k8tiir,multi-densenet-init-none-adam-1e-04-02-27,branches,run-multi-densenet-init-none-adam-1e-04-02-27:v10,v10,/home/erik/git/bigpicture/artifacts/best_branches/x4k8tiir_run-multi-densenet-init-none-adam-1e-04-02-27_v10,multi-densenet,adam,none,False,0.36114570361145704,0.21827998457385267
471tbcqy,single-densenet-init-none-adam-1e-04-02-27,branches,run-single-densenet-init-none-adam-1e-04-02-27:v12,v12,/home/erik/git/bigpicture/artifacts/best_branches/471tbcqy_run-single-densenet-init-none-adam-1e-04-02-27_v12,single-densenet,adam,none,False,0.32004981320049813,0.1982259930582337
tt1dlmdn,multi-deit-init-none-adamw-5e-05-02-27,branches,run-multi-deit-init-none-adamw-5e-05-02-27:v9,v9,/home/erik/git/bigpicture/artifacts/best_branches/tt1dlmdn_run-multi-deit-init-none-adamw-5e-05-02-27_v9,multi-deit,adamw,none,False,0.3001245330012453,0.18819899730042425
